station_id,fuel_type,label,price,timestamp
1354920,GAS,CNG,1.699,2022-03-02 19:58
1354929,GAS,CNG,1.699,2022-03-02 20:17
27348,GAS,CNG,1.299,2022-03-02 20:17
1354922,GAS,CNG,1.799,2022-03-02 20:17
1261240,GAS,CNG,1.179,2022-03-02 20:17
1354891,GAS,CNG,1.699,2022-03-02 20:17
33348,GAS,CNG,1.299,2022-03-02 20:17
1354918,GAS,CNG,1.699,2022-03-02 20:17
1354914,GAS,CNG,1.699,2022-03-02 20:17
1354916,GAS,CNG,1.699,2022-03-02 20:17
1354937,GAS,CNG,1.699,2022-03-02 20:17
334,GAS,CNG,1.699,2022-03-02 20:17
1354920,GAS,CNG,1.699,2022-03-02 20:17
1354929,GAS,CNG,1.699,2022-03-02 20:32
27348,GAS,CNG,1.299,2022-03-02 20:32
1354922,GAS,CNG,1.799,2022-03-02 20:32
1261240,GAS,CNG,1.179,2022-03-02 20:32
1354891,GAS,CNG,1.699,2022-03-02 20:32
33348,GAS,CNG,1.299,2022-03-02 20:32
1354918,GAS,CNG,1.699,2022-03-02 20:32
1354914,GAS,CNG,1.699,2022-03-02 20:32
1354916,GAS,CNG,1.699,2022-03-02 20:32
1354937,GAS,CNG,1.699,2022-03-02 20:32
334,GAS,CNG,1.699,2022-03-02 20:32
1354920,GAS,CNG,1.699,2022-03-02 20:32
1354929,GAS,CNG,1.699,2022-03-02 20:38
27348,GAS,CNG,1.299,2022-03-02 20:38
1354922,GAS,CNG,1.799,2022-03-02 20:38
1261240,GAS,CNG,1.179,2022-03-02 20:38
1354891,GAS,CNG,1.699,2022-03-02 20:38
33348,GAS,CNG,1.299,2022-03-02 20:38
1354918,GAS,CNG,1.699,2022-03-02 20:38
1354914,GAS,CNG,1.699,2022-03-02 20:38
1354916,GAS,CNG,1.699,2022-03-02 20:38
1354937,GAS,CNG,1.699,2022-03-02 20:38
334,GAS,CNG,1.699,2022-03-02 20:38
1354920,GAS,CNG,1.699,2022-03-02 20:38
1354929,GAS,CNG,1.699,2022-03-02 20:52
27348,GAS,CNG,1.299,2022-03-02 20:52
1354922,GAS,CNG,1.799,2022-03-02 20:52
1261240,GAS,CNG,1.179,2022-03-02 20:52
1354891,GAS,CNG,1.699,2022-03-02 20:52
33348,GAS,CNG,1.299,2022-03-02 20:52
1354918,GAS,CNG,1.699,2022-03-02 20:52
1354914,GAS,CNG,1.699,2022-03-02 20:52
1354916,GAS,CNG,1.699,2022-03-02 20:52
1354937,GAS,CNG,1.699,2022-03-02 20:52
334,GAS,CNG,1.699,2022-03-02 20:52
1354920,GAS,CNG,1.699,2022-03-02 20:52
1354929,GAS,CNG,1.699,2022-03-02 21:15
27348,GAS,CNG,1.299,2022-03-02 21:15
1354922,GAS,CNG,1.799,2022-03-02 21:15
1261240,GAS,CNG,1.179,2022-03-02 21:15
1354891,GAS,CNG,1.699,2022-03-02 21:15
33348,GAS,CNG,1.299,2022-03-02 21:15
1354918,GAS,CNG,1.699,2022-03-02 21:15
1354914,GAS,CNG,1.699,2022-03-02 21:15
1354916,GAS,CNG,1.699,2022-03-02 21:15
