station_id,name,address,postal_code,city,latitude,longitude
307172,Shell Austria,GRINZINGERSTRASSE 137,1190,WIEN,48.25463,16.36399
370714,Shell Austria,AM KAISERMUEHLENDAMM 140,1220,WIEN,48.20715,16.44691
384864,Shell Austria,ACHENSEE-STRASSE 2,6200,JENBACH,47.3885,11.77445
395309,Shell Austria,DONAUSTADTSTRASSE 37C,1220,WIEN,48.22704,16.44498
402052,Shell Austria,LAINZERSTRASSE 14,1130,WIEN,48.18551,16.29624
414542,Shell Austria,BUNDESSTRASSE 3,6714,NUEZIDERS,47.16535,9.7953
414544,Shell Austria,TRIESTERSTRASSE 6A-8,1100,WIEN,48.1790148559,16.3580035648
423989,Tanken an der S31,Siemensstrasse 1,7343,Neutal,47.5381315,16.4331036
427015,Shell Austria,LUSTENAUERSTRASSE 86,6850,DORNBIRN,47.41172,9.71573
427016,Shell Austria,AM SPORTFELD 4,6370,KITZBUEHEL,47.4446,12.39875
427017,Shell Austria,AUSSTELLUNGSSTRASSE 4,1020,WIEN,48.21777,16.39464
428033,Shell Oberndorf/Sbg,Salzburger Strasse 4,5110,Oberndorf bei Salzburg,47.935624,12.94659
428034,Shell Spittal/Drau ,Zgurner Strasse 2,9800,Spittal an der Drau,46.782823,13.534383
428035,Shell Lannach,Radlpass Strasse 26,8502,Lannach,46.949105,15.337384
431256,Shell Austria,HEILIGENSTAEDTERSTR. 60,1190,WIEN,48.24161,16.36138
437497,Shell Austria,GERSTHOFERSTRASSE 2,1180,WIEN,48.229112,16.32895
437498,Shell Austria,HADIKGASSE 128-134,1140,WIEN,48.190443,16.294513
447952,Shell Austria,HUETTELBERGSTRASSE 4,1140,WIEN,48.20271,16.25757
448121,Shell Austria,LINZER STR 2A,1150,WIEN,48.19039,16.32173
449653,Shell Austria,LEOPOLDAUERSTRASSE 51,1210,WIEN,48.25993,16.41174
449827,Shell Austria,OEVERSEESTRASSE 2B,1150,WIEN,48.20186,16.31767
450004,Shell Austria,SCHWEFEL 40,6850,DORNBIRN-SCHWEFEL,47.4256,9.7414
450350,Shell Austria,DARINGERGASSE 1A,1190,WIEN,48.24722,16.33481
450523,Shell Austria,PFENNINGGELDG 2/ECKE HERBSTSTRASSE,1160,WIEN,48.20786,16.31328
450524,Shell Austria,WAGRAMERSTRASSE 14,1220,WIEN,48.23367,16.42036
450529,Shell Austria,PANZENDORF 134,9919,HEINFELS,46.74968,12.4423
491817,Deine SB Tankstellen,Kirchbach 113,8082,Kirchbach,46.929099,15.664164
493332,Turmöl Quick,Gmundnerstr. 35,4663,Laakirchen,47.975562,13.8203361
497870,Diskont Tankstelle,"Bahnhofstraße 26 (""Hofer Parkplatz"")",3370,Ybss,48.16811,15.086662
508146,Easy Tank,Strötting 1,4716,Hofkirchen/Tr.,48.222328,13.732715
544226,Diskont Tankstelle,"Gnaserstraße 26 (""Am Hofer Parkplatz"")",8330,Feldbach,46.953682,15.869513
592851,eni,Marktstraße 19,5611,Großarl,47.2428529,13.2059728
605978,Turmöl Gold,Steinamangerstrasse 8,7423,Pinkafeld,47.3635786,16.1251255
621248,OIL! Tankstelle,Schusterbergweg 84,6020,Innsbruck,47.2769,11.432
621255,OIL! Tankstelle,Nr. 2A,8924,Wildalpen,47.6627,14.9877
621283,OIL! Tankstelle,Himberger Strasse 50,1100,Wien,48.1365,16.3835
621285,OIL! Tankstelle,Laxenburger Strasse 244,1230,Wien,48.1388,16.358
621287,OIL! Tankstelle,Furchgasse 2A,6845,Hohenems,47.3801,9.70549
624870,Turmöl Quick,Weitmoserstr. 1,5630,Bad Hofgastein,47.1571884,13.1072403
665616,avanti - Rum Siemensstraße 1,Siemensstrasse 1,6063,Rum,47.27753,11.45756
682602,"PINK - so pink, so clever",Welserstraße 5,4701,Bad Schallerbach,48.2275333,13.9257925
685125,GTS - Günstig Tanken Schmöger ,Körnermarkt 5,3542,Gföhl,48.516035,15.493225
692206,SPRITINN,Rechte Wienzeile 43,1050,Wien,48.1963317,16.3587045
692890,Sprit Diskont Thomas Weißenböck-Straßl,Nibelungenstrasse 20,4090,Engelhartszell,48.5017813,13.735886
716103,Stöckl ,Hauptstrasse 54,7434,Bernstein,47.4064335,16.260999
761209,Sprint,Triester Str. 328,8055,Graz,47.03297072960908,15.430686098181836
775695,Waschpark Volders,Alpenstrasse 1,6111,Volders,47.291801,11.574433
781244,GT TANKAUTOMAT,Bundesstrasse,6166,Fulpmes,47.1541898,11.358225
781245,GT Günstig Tanken,Salzburgerstrasse 31,6060,Hall i. T.,47.281252,11.512492
781246,BP Troppacher,Bundesstrasse 498,6100,Seefeld,47.3280871,11.198689
781247,GT TANKAUTOMAT,Bundesstrasse 20,6156,Gries a. Brenner,47.0443982,11.4833081
781248,BP Troppacher,Hallerstrasse 164,6020,Innsbruck,47.275473,11.434021
781249,BP Express,Bundesstrasse,6220,Buch b. Jenbach,47.38314,11.77229
789150,WT Telfs,Hans-Liebherr-Strasse 33,6410,Telfs,47.3140345,11.1001827
793706,Petschl Tankstelle,Josef-Petschl-Straße 1,4320,Perg,48.25254,14.596074
810034,Diesel Prommegger St. Michael,Gewerbestraße 649,5582,St. Michael,47.0968149,13.6314642
853918,AVIA XPress (unser Service: Luft und Wasser),Gewerbestraße 2,3240,Mank,48.1146419,15.3326377
862063,"Diesel, Super",Steinamanger Straße,7472,Schachendorf,47.26326,16.4338
894715,Lagerhaus Kirnberg GENOL,Pöllabergstrasse 4,3241,Kirnberg,48.0727027,15.3201001
910999,A1 Tankstelle Waidring,Loferer Bundesstraße 1,6384,Waidring,47.5864172,12.5849435
